filename,speaker_id,word_id,word_text,augmentation,frames,fps,duration
s1_w1_base.mp4,s1,w1,छत्रपती,base,50,25.00,2.000
s1_w2_base.mp4,s1,w2,शिवाजी,base,50,25.00,2.000
s1_w3_base.mp4,s1,w3,महाराज,base,50,25.00,2.000
s1_w4_base.mp4,s1,w4,हे,base,50,25.00,2.000
s1_w5_base.mp4,s1,w5,महाराष्ट्राच्या,base,50,25.00,2.000
s1_w6_base.mp4,s1,w6,मातीमध्ये,base,50,25.00,2.000
s1_w7_base.mp4,s1,w7,जन्मलेले,base,50,25.00,2.000
s1_w8_base.mp4,s1,w8,एक,base,50,25.00,2.000
s1_w9_base.mp4,s1,w9,शूरवीर,base,50,25.00,2.000
s1_w10_base.mp4,s1,w10,आणि,base,50,25.00,2.000
s1_w11_base.mp4,s1,w11,महान,base,50,25.00,2.000
s1_w12_base.mp4,s1,w12,राजे,base,50,25.00,2.000
s1_w13_base.mp4,s1,w13,होते,base,50,25.00,2.000
s1_w14_base.mp4,s1,w14,त्यांनी,base,50,25.00,2.000
s1_w15_base.mp4,s1,w15,रयतेचे,base,50,25.00,2.000
s1_w16_base.mp4,s1,w16,राज्य,base,50,25.00,2.000
s1_w17_base.mp4,s1,w17,म्हणजेच,base,50,25.00,2.000
s1_w18_base.mp4,s1,w18,स्वराज्य,base,50,25.00,2.000
s1_w19_base.mp4,s1,w19,स्थापन,base,50,25.00,2.000
s1_w20_base.mp4,s1,w20,केले,base,50,25.00,2.000
s1_w1_darken.mp4,s1,w1,छत्रपती,darken,50,25.00,2.000
s1_w2_darken.mp4,s1,w2,शिवाजी,darken,50,25.00,2.000
s1_w3_darken.mp4,s1,w3,महाराज,darken,50,25.00,2.000
s1_w4_darken.mp4,s1,w4,हे,darken,50,25.00,2.000
s1_w5_darken.mp4,s1,w5,महाराष्ट्राच्या,darken,50,25.00,2.000
s1_w6_darken.mp4,s1,w6,मातीमध्ये,darken,50,25.00,2.000
s1_w7_darken.mp4,s1,w7,जन्मलेले,darken,50,25.00,2.000
s1_w8_darken.mp4,s1,w8,एक,darken,50,25.00,2.000
s1_w9_darken.mp4,s1,w9,शूरवीर,darken,50,25.00,2.000
s1_w10_darken.mp4,s1,w10,आणि,darken,50,25.00,2.000
s1_w11_darken.mp4,s1,w11,महान,darken,50,25.00,2.000
s1_w12_darken.mp4,s1,w12,राजे,darken,50,25.00,2.000
s1_w13_darken.mp4,s1,w13,होते,darken,50,25.00,2.000
